,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Godzilla (Gojira) (1954),89.0,93%,Godzilla (Gojira) (1954),74,,Sci-fi,Japanese,Ishirô Honda,Tomoyuki Tanaka,"Ishirô Honda, Shigeru Kayama","Nov 3, 1954 original","Apr 20, 2014",,1h 38m,Rialto Pictures,,,Godzilla
The Look of Silence (2015),90.0,96%,The Look of Silence (2015),139,PG-13 (Thematic Material|Graphic Desc. of Inhumanity|Graphic Desc. of Atrocities),Documentary,Indonesian,Joshua Oppenheimer,Signe Byrge Sørensen,,"Jul 17, 2015 limited","Jan 12, 2016",$109.1K,1h 39m,Drafthouse Films,,,
Maria Full of Grace (2004),91.0,97%,Maria Full of Grace (2004),146,R (Language|Drug Content),Drama,English,Joshua Marston,Paul Mezey,Joshua Marston,"Jan 18, 2004 original","Dec 7, 2004",$6.5M,1h 41m,New Line Cinema,Surround,,
My Left Foot (1989),92.0,98%,My Left Foot (1989),42,R,Biography,English,Jim Sheridan,Noel Pearson,,"Nov 10, 1989 original","Aug 16, 2005",$14.5M,1h 43m,Miramax Films,,,
Nostalgia for the Light (2011),93.0,100%,Nostalgia for the Light (2011),48,,Documentary,Spanish,Patricio Guzmán,"Meike Martens, Renate Sachse",Patricio Guzmán,,"May 10, 2016",,1h 30m,,,,
A Prophet (Un prophete) (2010),94.0,96%,A Prophet (Un prophete) (2010),163,R (Language|Drug Material|Nudity|Sexual Content|Strong Violence),"Drama, Crime",French (France),Jacques Audiard,"Martine Cassinelli, Lauranne Bourrachot, Pascal Caucheteux, Marco Cherqui","Jacques Audiard, Thomas Bidegain, Thomas Bidegain, Jacques Audiard, Abdel Raouf Dafri, Nicolas Peufaillit","Feb 26, 2010 limited","Aug 3, 2010",$2.1M,2h 34m,Sony Pictures Classics,,,
My Beautiful Laundrette (1985),95.0,98%,My Beautiful Laundrette (1985),42,R,"Drama, Comedy, Lgbtq+",English,Stephen Frears,"Tim Bevan, Sarah Radclyffe",Hanif Kureishi,"Mar 7, 1986 original","Jun 3, 2003",,1h 37m,Orion Pictures,Mono,,
The Kid with a Bike (2012),96.0,96%,The Kid with a Bike (2012),133,PG-13 (Thematic Elements|Smoking|Brief Language|Violence),Drama,French (Canada),"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne, Denis Freyd","Jean-Pierre Dardenne, Luc Dardenne, Jean-Pierre Dardenne, Luc Dardenne","Mar 16, 2012 limited","Feb 12, 2013",$20.5K,1h 27m,IFC Films,,,
Ernest & Célestine (2014),97.0,98%,Ernest & Célestine (2014),81,,,,Vincent Patar,,,,,,,,,,
Throne of Blood (1957),98.0,95%,Throne of Blood (1957),44,,Drama,Japanese,Akira Kurosawa,"Akira Kurosawa, Sojiro Motoki","Shinobu Hashimoto, Ryûzô Kikushima, Akira Kurosawa, Hideo Oguni","Nov 22, 1957 wide","Jun 3, 2003",,1h 48m,,Mono,Academy (1.33:1),
